content_id,screen,language,issue,current_text,recommended_text,canonical_name,notes
txt-72538a865f3d,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Alkmaar received city rights in the Middle Ages and became a market town for the surrounding North Holland countryside. It is famous for the 1573 siege during the Dutch Revolt, remembered in the phrase that victory began at Alkmaar, and for its historic cheese market. Today the old centre, canals, regional services, and rail links make Alkmaar a key city in northern North Holland.","Alkmaar received city rights in the Middle Ages and became a market town for the surrounding Noord-Holland countryside. It is famous for the 1573 siege during the Dutch Revolt, remembered in the phrase that victory began at Alkmaar, and for its historic cheese market. Today the old centre, canals, regional services, and rail links make Alkmaar a key city in northern Noord-Holland.",Noord-Holland,Store canonical and localized display name separately.
txt-38a10a106292,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Heerhugowaard grew on reclaimed land in North Holland after a lake was drained in the seventeenth century. Its straight roads, polder layout, farms, and later housing districts reflect the Dutch history of water management and planned settlement. Since 2022 it has been part of the municipality Dijk en Waard, while the name Heerhugowaard remains important for local identity, services, and neighbourhoods.","Heerhugowaard grew on reclaimed land in Noord-Holland after a lake was drained in the seventeenth century. Its straight roads, polder layout, farms, and later housing districts reflect the Dutch history of water management and planned settlement. Since 2022 it has been part of the municipality Dijk en Waard, while the name Heerhugowaard remains important for local identity, services, and neighbourhoods.",Noord-Holland,Store canonical and localized display name separately.
txt-ac1ae54a0a17,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Leiden is a medieval canal city in South Holland with city rights dating from the thirteenth century. The siege and relief of Leiden in 1574 became a major event in the Dutch Revolt, and Leiden University was founded shortly afterwards in 1575. The city later became known for scholarship, printing, museums, textile history, and a compact historic centre that still shapes daily life.","Leiden is a medieval canal city in Zuid-Holland with city rights dating from the thirteenth century. The siege and relief of Leiden in 1574 became a major event in the Dutch Revolt, and Leiden University was founded shortly afterwards in 1575. The city later became known for scholarship, printing, museums, textile history, and a compact historic centre that still shapes daily life.",Zuid-Holland,Store canonical and localized display name separately.
txt-da334e69bce2,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Historic university city in South Holland with canals, museums, and a compact old centre.","Historic university city in Zuid-Holland with canals, museums, and a compact old centre.",Zuid-Holland,Store canonical and localized display name separately.
txt-c888867d71b8,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Port city in South Holland with modern architecture, strong transit links, and major services.","Port city in Zuid-Holland with modern architecture, strong transit links, and major services.",Zuid-Holland,Store canonical and localized display name separately.
txt-911c7cfc83d4,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,"Leiden is a historic city in South Holland, known for its university, canals, museums, and old city centre. The city has long been connected with education, science, printing, and textile history.","Leiden is a historic city in Zuid-Holland, known for its university, canals, museums, and old city centre. The city has long been connected with education, science, printing, and textile history.",Zuid-Holland,Store canonical and localized display name separately.
txt-c0d095300a2e,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,Historic canal city in South Holland,Historic canal city in Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-3fbebff8c970,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,North Holland,Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-09ef62a21fd6,YouNew/Views/ProvinceDirectoryView.swift,und,canonical_name_conflict,South Holland,Zuid-Holland,Zuid-Holland,Store canonical and localized display name separately.
txt-442057348370,YouNew/Views/NetherlandsInteractiveMapView.swift,und,canonical_name_conflict,Select North Holland,Select Noord-Holland,Noord-Holland,Store canonical and localized display name separately.
txt-6c5ae0760b54,YouNew/Views/NetherlandsInteractiveMapView.swift,und,scope_ambiguity,Autonomous constituent country. Part of the Kingdom of the Netherlands since 1986. Located near Venezuela.,Autonomous constituent country. Part of the Kingdom of the Netherlands since 1986. Located near Venezuela.,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-b589d00542e0,YouNew/Views/NetherlandsInteractiveMapView.swift,und,scope_ambiguity,Smallest special municipality. Mount Scenery is the highest point of the Kingdom of the Netherlands.,Smallest special municipality. Mount Scenery is the highest point of the Kingdom of the Netherlands.,Kingdom of the Netherlands,Store canonical and localized display name separately.
txt-000c03b1be19,YouNew/Views/NetherlandsInteractiveMapView.swift,und,canonical_name_conflict,North Holland visual reference for the map summary.,Noord-Holland visual reference for the map summary.,Noord-Holland,Store canonical and localized display name separately.
txt-95146634f4b4,YouNew/Views/NetherlandsInteractiveMapView.swift,mixed,mixed_english_dutch,"\(province.localizedName(lang)) is een Nederlandse provincie met \(province.capital) als hoofdstad, ongeveer \(province.population) inwoners en \(province.municipalityCount) gemeenten. Gebruik deze kaart om steden, diensten en praktische informatie in de provincie te verkennen.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-750087edab3c,YouNew/Views/TransportGuideView.swift,und,canonical_name_conflict,"Useful in Amsterdam, Rotterdam, The Hague region, and nearby suburbs.","Useful in Amsterdam, Rotterdam, Den Haag region, and nearby suburbs.",Den Haag,Store canonical and localized display name separately.
txt-051ecc8b71e2,YouNew/Services/KnowledgeIndex.swift,mixed,mixed_english_dutch,"Understand Dutch health insurance, registration dependencies, huisarts, and official checks.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-698583477e54,YouNew/Services/KnowledgeIndex.swift,mixed,mixed_english_dutch,"Gemeente, IND, UWV, taxes, and official procedures.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
txt-df5bb63e21da,YouNew/Services/AIContextBuilder.swift,mixed,mixed_english_dutch,"Health insurance (zorgverzekering) is mandatory for residents. GP (huisarts) is primary care. Spoedeisende hulp for urgent, 112 for emergency.",Rewrite fully in the active interface language; keep Dutch terms in parentheses only when operationally useful.,,Do not translate canonical IDs.
